row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,label
g55c_0013_mastmounted_fork_carriage_06697054,mastmounted_fork_carriage,Mast-mounted fork carriage,A twin-rail forklift mast module. A fixed upright pair supports a compact moving carriage that wraps the guides and carries two forks at its lower edge. The carriage moves on one vertical prismatic joint.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0014_vane_array_with_independent_pivots_91f1075f,vane_array_with_independent_pivots,Vane array with independent pivots,"An under-slung shutter blade assembly. A top support carries several hanging blades on separate pivots, giving the array a different support layout while keeping the same hard-surface blade geometry. Each blade rotates on its own revolute joint.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0015_screwin_light_bulb_with_socket_65d21295,screwin_light_bulb_with_socket,Screw-in light bulb with socket,"A screw-in light bulb seated in a socket. A bulb envelope sits above a threaded metal base, and the socket body holds the mating threaded collar. Joints: the bulb rotates continuously about the shared socket axis. Offset the rotating element within an asymmetrical fixed body where that still reads correctly.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0016_turntable_82456b4c,turntable,Turntable,"A record turntable. A plinth supports a central platter and a tonearm base off to one side. Joints: the platter rotates continuously about vertical, and the tonearm swings on a revolute pivot at the tonearm base. Use one central support under the rotating stage.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0017_coaxial_rotary_stack_2513d08c,coaxial_rotary_stack,Coaxial rotary stack,A tower-mounted coaxial rotary fixture. A grounded foot and short center post carry multiple coaxial carriers stacked one above the other. Each carrier is a revolute joint about the common centerline.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0018_threestage_telescoping_slide_f3e377e3,threestage_telescoping_slide,Three-stage telescoping slide,"A side-wall three-stage extension unit. A grounded side plate supports an outer channel, a middle runner, and an inner runner. The middle and inner runners slide through serial prismatic joints.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0019_prismaticrevoluterevolute_chain_5b870980,prismaticrevoluterevolute_chain,Prismatic-revolute-revolute chain,"A compact service carriage with elbow linkage. A grounded guide supports one moving carriage that carries a shoulder link and a shorter outer link. The carriage is prismatic, then shoulder and elbow provide two revolute joints.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0020_dualrail_gantry_axis_0d59e7d9,dualrail_gantry_axis,Dual-rail gantry axis,"A low-profile dual-rail gantry assembly. A broad base plate carries two guideways, a shallow moving beam, and a compact cross-slide carriage. One prismatic joint moves the beam across the base, and a second prismatic joint moves the cross-slide across the beam.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0021_skateboard_31ba27f6,skateboard,Skateboard,"A skateboard with standard trucks. A deck supports front and rear truck hangers, each holding one axle and two wheels. Joints: each wheel spins continuously about its axle, and each truck steers on a revolute kingpin axis. Make the left and right supports nearly symmetric about the centerline.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0022_xyz_cartesian_stage_28f66ab8,xyz_cartesian_stage,XYZ Cartesian stage,"An XYZ cartesian stage. A base supports an X carriage, the X carriage supports a Y stage turned 90 degrees, and the Y stage carries a vertical Z slide with a top table. The X and Y stages are prismatic along orthogonal horizontal axes about 150 mm each, and the Z stage is prismatic vertically about 120 mm.",openai,gpt-5.5-2026-04-23,med,100,,
g55c_0023_opposed_twinslide_gripper_e32a767a,opposed_twinslide_gripper,Opposed twin-slide gripper,A carriage-block opposed gripper. A grounded center body supports two mirrored jaw carriages with compact fingers facing a common pickup zone. The left and right jaw carriages are separate prismatic joints along the shared closing axis.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0024_linear_carriage_with_independent_rotary_endeffector_e40577e6,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,"A low-profile shuttle with a rotary spindle. A broad base supports a shallow sliding carriage, and the carriage carries a compact spindle package at one end. The shuttle translates on a prismatic axis, and the spindle rotates on its own revolute axis.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0025_twojoint_prismatic_chain_024a6ff7,twojoint_prismatic_chain,Two-joint prismatic chain,"A low-profile two-stage transfer axis. A broad base supports a first slide, and the first slide supports a short terminal slide with a plain end plate. The assembly consists of two serial prismatic joints.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0026_barrier_gate_5f0fadfe,barrier_gate,Barrier gate,"A railway-crossing gate with a tall post on a concrete footing, a cast-iron hinge bracket near the post top carrying a long tapered striped boom arm on a pivot pin, and a short heavy counterweight tail on the opposite side.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0027_service_access_panel_e0f3ee6c,service_access_panel,Service access panel,"A hinged service access panel on an equipment face. A rectangular frame surrounds the opening, and a panel door hangs from one side with a latch edge opposite. Joints: the door is a single revolute panel about a vertical side hinge axis. Break the body into a main shell plus a separate hinge-side reinforcement band.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0028_floor_lamp_a8dc6d0c,floor_lamp,Floor lamp,A telescoping floor lamp with a round base and a height-adjustable post that extends prismatically from the base tube. The inner post slides prismatically inside the outer base tube. A cone shade at the top tilts on a revolute hinge at the shade mount.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0029_single_pitch_axis_module_ea4c096e,single_pitch_axis_module,Single pitch axis module,"An open-frame a pitch-axis trunnion module for a tooling fixture. Two side supports or bearing blocks hold the moving member with clear shaft support, simple caps, and enough spacing that the rotary axis is easy to read. One revolute joint tilts the head about a horizontal trunnion axis carried by the side cheeks.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0030_offsetaxis_rotary_stack_0d02c5d7,offsetaxis_rotary_stack,Offset-axis rotary stack,"An edge-arm offset rotary stack. A grounded lower platform carries a stiff side arm, and the side arm supports a smaller upper rotary stage on a parallel offset axis. The lower platform and upper stage are separate revolute joints about parallel supported axes.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0031_twostage_telescoping_slide_b47f3455,twostage_telescoping_slide,Two-stage telescoping slide,An under-slung telescoping runner. A top support carries an outer sleeve and one nested runner hanging beneath it. The nested runner is a prismatic joint along the slide direction.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0032_extension_ladder_68616216,extension_ladder,Extension ladder,A step ladder with a front two-stile section and a rear single-leg brace. The front and rear sections spread on a revolute hinge at the apex. A folding spreader bar between the front and rear locks on a revolute hinge. The top cap is fixed.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0033_prismaticrevolute_chain_0a7c7dca,prismaticrevolute_chain,Prismatic-revolute chain,A compact service slide-hinge module. A broad grounded body supports one short carriage and one small hinged tab. The short carriage is a prismatic joint and the tab is a carried revolute joint.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0034_bell_tower_with_swinging_bell_19c165a4,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A small octagonal rooftop cupola sitting on a flat roof plate, with louvered side panels in alternate faces and a cast yoke inside the cupola seating the bell on a horizontal pivot shaft running between two bracket ears on the interior frame ring. The clapper hangs from a rod inside the bell body, and the cupola housing has a center roof finial.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0035_roof_vent_tower_with_hinged_flap_16d6c84e,roof_vent_tower_with_hinged_flap,Roof vent tower with hinged flap,"A rooftop vent tower with a weather flap. An upright vent housing ends in a framed outlet, with one flap attached along the top edge. Joints: the flap is a single revolute panel about a horizontal top-edge axis. Break the body into a main shell plus a separate hinge-side reinforcement band.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0036_watch_winder_box_with_hinged_lid_0cdd8090,watch_winder_box_with_hinged_lid,Watch winder box with hinged lid,"A watch winder presentation box. A box body supports a top lid and one internal cradle mounted on a small spindle. Joints: the lid is revolute about a horizontal rear hinge axis, and the cradle rotates continuously about its spindle. Break the body into a main shell plus a separate hinge-side reinforcement band.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0037_retractable_bollard_2ec8b9ce,retractable_bollard,Retractable bollard,"A traffic-control bollard with a thick round post, reflective bands near the top, and a circular flange collar at pavement level. The post translates prismatically up and down within the ground housing, a locking knob on the post crown rotates continuously on its short shaft, and a small service door in the collar rotates on a side-mounted hinge. Urban security-fixture scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0038_tower_fan_with_rotary_controls_5e0664c8,tower_fan_with_rotary_controls,Tower fan with rotary controls,"A dorm-room tower fan with a short rectangular column, a circular base, and a single large mode knob plus a smaller timer knob on the top cap. The internal impeller rotates continuously about the vertical axis, the fan column oscillates on a vertical revolute joint at the base, and the two top knobs rotate independently. Compact residential appliance scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0039_sliding_security_gate_2d3065fa,sliding_security_gate,Sliding security gate,A sliding security gate. A fixed post and frame support one gate leaf captured by a top track or bottom guide. Joints: the gate leaf translates prismatically along the track axis. Use one dominant fixed guide and a smaller moving carriage.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0040_yawpitch_module_b726609c,yawpitch_module,Yaw-pitch module,"A pedestal yaw-pitch inspection head. A fixed pedestal supports a compact yaw stage, and the yaw stage carries a side-supported pitch frame with a plain output face. The module uses a vertical yaw revolute joint and a horizontal pitch revolute joint.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0041_ceiling_light_fixture_59a2390a,ceiling_light_fixture,Ceiling light fixture,"An adjustable hanging grid pendant with a square ceiling rose, four wire hangers to a flat square grid frame, and bulb sockets on the grid. Each wire hanger attaches to the grid corner on a revolute loop joint. Each hanger attaches to the ceiling rose on a revolute loop joint.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0042_rotary_base_with_vertical_slide_20ac889b,rotary_base_with_vertical_slide,Rotary base with vertical slide,"A rotary pedestal with a lifting head. A circular base turntable carries a vertical guide column, and a carriage on that column holds a small tooling plate. The base is a revolute joint about the vertical pedestal axis, and the carriage is a prismatic joint along the column axis.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0043_elevator_28a109d9,elevator,Elevator,A piston-type residential elevator with a rectangular car inside an open shaft frame. The car rises prismatically along the shaft post guide rails. An outer lobby door at each landing hinges on revolute knuckles at the door's vertical edge.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0044_wheelchair_fff4a174,wheelchair,Wheelchair,"A manual wheelchair. A chair frame supports two large rear wheels, two front casters, a seat, a backrest, and footrests. Joints: each rear wheel rotates continuously about its axle, and each front caster swivels about a vertical stem and spins continuously about its wheel axle. Make the left and right supports nearly symmetric about the centerline.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0045_threejoint_prismatic_chain_d23a0ccf,threejoint_prismatic_chain,Three-joint prismatic chain,"A low-profile three-stage transfer axis. A broad grounded base supports a long first slide, a shorter second slide, and a compact terminal stage with a square face. The chain consists of three serial prismatic joints.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0046_turnstile_gates_133fac6c,turnstile_gates,Turnstile Gates,A three-arm turnstile gate. A central column supports a rotor hub with three radial arms inside a fixed frame. Joints: the arm hub rotates continuously about the vertical center axis. Use one central support under the rotating stage.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0047_desk_with_drawer_e1497039,desk_with_drawer,Desk with drawer,A wall-mount fold-down laundry desk with a fold-down leaf and a pull-out sorting drawer below. The leaf folds on a revolute hinge at the cabinet's lower face edge. The sorting drawer slides prismatically on guide rails.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0048_garden_gate_edf80687,garden_gate,Garden gate,"A self-closing garden gate for a narrow walkway. The framed wooden leaf is mounted to one post on two hinges and has a small top-mounted closer arm and a latch at the free edge. The main leaf rotates on a vertical hinge axis, the latch rotates on its own pivot, and the closer arm rotates on its two support joints as the gate swings.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0049_wheelbarrow_eaa66c91,wheelbarrow,Wheelbarrow,"A wheelbarrow. A tray sits between two handles, with one front wheel in a fork and two resting legs at the rear. Joints: the front wheel rotates continuously about its axle. Make the front support narrow and the rear support broad.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0050_threejoint_revolute_chain_5f1ce451,threejoint_revolute_chain,Three-joint revolute chain,"A side-plate three-joint revolute chain. A fixed cheek supports a sequence of flat-sided links with compact pin bosses, ending in a compact end tab. The links are joined by three revolute joints on parallel supported axes.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0051_electrical_cabinet_door_6026b606,electrical_cabinet_door,Electrical cabinet door,A high-voltage busbar chamber with a tall rectangular cubicle body and a large hinged inspection door. The inspection door hinges on large revolute knuckles on the door's vertical left edge. A three-bolt draw-latch on the right stile operates through a revolute turning handle.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0052_floodlight_mast_with_tilt_head_a682e6af,floodlight_mast_with_tilt_head,Floodlight mast with tilt head,A security perimeter floodlight on a wall bracket arm. The arm is fixed to a wall mount plate. A pan-tilt flood head at the arm tip rotates on a continuous azimuth revolute bearing and tilts on a revolute hinge.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0053_parabolic_dish_on_azimuth_elevation_mount_b61b34c1,parabolic_dish_on_azimuth_elevation_mount,Parabolic dish on azimuth-elevation mount,"A survey dish on a triangular base with a side tilt bracket. The reflector is fixed to a back frame carried between two side arms, and the side arms stand on a rotating center mast. The mast rotates on a vertical azimuth axis, and the back frame rotates on a horizontal elevation axis between the side arms.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0054_desktop_monitor_with_tilt_swivel_stand_6b68ebde,desktop_monitor_with_tilt_swivel_stand,Desktop monitor with tilt swivel stand,"A creator-focused desktop monitor with a flat display shell, a stout center column, and a rectangular base plate, plus a small bank of menu buttons under the lower bezel. the stand head keeps a real tilt-and-pivot carriage behind the panel instead of a thin cosmetic neck, and the controls are separate parts instead of one fused panel. The display tilts on a horizontal hinge at the stand head, rotates continuously about its center axis for portrait mode, and the center column slides prismatically for height adjustment, and the menu buttons articulate independently as small prismatic push controls. Creative-workstation monitor scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0055_radial_arm_with_sliding_carriage_92c6eccc,radial_arm_with_sliding_carriage,Radial arm with sliding carriage,A side-wall radial arm module. A grounded side plate supports a rotary boss and a straight arm with a compact tool carriage on its face. The rotary boss is a revolute joint and the tool carriage is a prismatic joint.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0056_wheelie_bin_with_hinged_lid_55f30d04,wheelie_bin_with_hinged_lid,Wheelie bin with hinged lid,"A wheelie bin with a top lid. A bin body sits on a rear axle with two wheels and carries one full-width lid along the back edge. Joints: the lid is revolute about a horizontal rear hinge axis, and the rear wheels spin continuously about the axle. Bias the design toward one large uninterrupted panel.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0057_serial_elbow_arm_74e6350b,serial_elbow_arm,Serial elbow arm,"A bench-mounted elbow arm. A short base column carries a deep-section upper arm and a slimmer forearm ending in a rectangular tool face. The upper arm rotates on a shoulder revolute joint at the pedestal, and the forearm rotates on an elbow revolute joint at the end of the upper arm.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0058_pushpull_plunger_chain_6f534092,pushpull_plunger_chain,Push-pull plunger chain,"A push-pull plunger chain. A fixed housing guides a central plunger, and the plunger tip drives a short hinged lever at the front. The plunger is a prismatic joint along the housing axis about 50 mm, and the front lever is a revolute joint about a transverse pin with about 45 degrees of travel.",openai,gpt-5.5-2026-04-23,med,100,,
g55c_0059_telescoping_mast_with_pan_head_37001d7e,telescoping_mast_with_pan_head,Telescoping mast with pan head,"A telescoping mast with a compact pan head. A grounded lower mast supports nested upright sections, and the top section carries a small rotary head with a plain faceplate. The mast sections are serial vertical prismatic joints, and the top head is a revolute joint about the mast axis.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0060_toaster_oven_dd256a24,toaster_oven,Toaster oven,"A countertop oven with a glass front door, two control knobs, and a hinged steam-vent flap on the top rear of the body. The door rotates downward on a lower front hinge, the two knobs rotate continuously on their short shafts, and the steam-vent flap rotates upward on a short hinge along the top rear edge. Countertop baking scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0061_vertical_slide_with_wrist_hinge_ffa44134,vertical_slide_with_wrist_hinge,Vertical slide with wrist hinge,"A vertical slide with wrist hinge. A fixed column carries a lifting carriage, and the front of the carriage supports a short wrist plate on a side-supported pin joint. The carriage moves vertically about 180 mm and the wrist rotates about a horizontal axis roughly 90 degrees each way.",openai,gpt-5.5-2026-04-23,med,100,,
g55c_0062_fourjoint_revolute_chain_f0bcb434,fourjoint_revolute_chain,Four-joint revolute chain,"A side-plate four-joint revolute chain. A fixed cheek supports a sequence of flat-sided links with compact pin bosses, ending in a compact end tab. The links are joined by four revolute joints on parallel supported axes.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0063_cantilever_articulated_arm_5baaef19,cantilever_articulated_arm,Cantilever articulated arm,"An open-frame cantilever arm assembly. A grounded pedestal supports a long first link, a shorter second link, and a wrist plate, with the links sized to read as a practical bench arm rather than a humanoid robot. The shoulder and elbow revolve in one vertical plane, and the wrist adds a third revolute axis at the end.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0064_fingerlike_phalanx_chain_a8f6349a,fingerlike_phalanx_chain,Finger-like phalanx chain,A ladder-backed finger chain. A grounded rear spine supports three rigid phalanx members with generous joint overlap so each hinge reads clearly. The chain is three revolute joints about parallel axes.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0065_vacuum_cleaner_with_articulated_wand_80ca9294,vacuum_cleaner_with_articulated_wand,Vacuum cleaner with articulated wand,"A vacuum cleaner with an articulated wand. A main body connects to a rigid wand chain ending in a floor nozzle. Joints: the wand bends on one or two revolute elbows, and the floor nozzle pitches on a horizontal revolute hinge. Bias the design toward one dominant primary link and one shorter secondary link.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0066_cctv_mast_with_pantilt_camera_head_c175ff7e,cctv_mast_with_pantilt_camera_head,CCTV mast with pan-tilt camera head,"A pedestal-column interior CCTV with a round decorative pedestal base, a short column post, and a dome camera housing. The housing is fixed to the post top on a bracket. The dome camera pans on a continuous bearing and tilts on a revolute tilt joint inside the housing.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0067_branching_tree_with_three_independent_rotary_branches_bf7d30bf,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A boxed industrial three-branch fixture. A stiff column and reinforced side bosses support three short rotary branches with compact end-effectors, keeping the fixed mast visually dominant over the moving arms. The three branches are independent revolute joints about their own grounded support axes.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0068_floor_standing_drafting_table_1246c02e,floor_standing_drafting_table,Floor Standing Drafting Table,"A studio drafting table with a sled base, a single vertical standard, and a broad board carried in a side-cheek frame. The board rotates on a horizontal revolute axis between the side cheeks, the upper frame slides prismatically along the standard, and a side crank handle rotates continuously about its shaft.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0069_chest_freezer_with_hinged_lid_d4c184e3,chest_freezer_with_hinged_lid,Chest freezer with hinged lid,A laboratory sample chest freezer with an insulated rectangular body and a heavy hinged lid with a pressure seal. The lid opens on two revolute hinge knuckles at the lid's rear edge. A lid locking latch on the front edge operates on a revolute cam latch joint.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0070_revoluteprismaticrevolute_chain_c165bd30,revoluteprismaticrevolute_chain,Revolute-prismatic-revolute chain,"A low-profile rotary-slide-rotary assembly. A grounded base supports one hinged body, the hinged body supports a small linear stage, and the linear stage supports a short end fork. The motion order is revolute, prismatic, then revolute.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0071_tackle_box_with_simple_hinged_lid_92bac6e2,tackle_box_with_simple_hinged_lid,Tackle box with simple hinged lid,"A tackle box with a plain hinged lid. A rectangular box body supports one lid panel along the rear edge, with internal tray details kept fixed inside the body. Joints: the lid is a single revolute panel about a horizontal rear hinge axis. Bias the design toward one large uninterrupted panel.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0072_standing_desk_with_synchronous_telescoping_legs_and_articulated_controls_19ed73b3,standing_desk_with_synchronous_telescoping_legs_and_articulated_controls,Standing desk with synchronous telescoping legs and articulated controls,"An L-shaped standing desk with three lifting columns, a corner desktop, and a front-mounted controller on the long run, plus a memory-control bank with three preset buttons and a small power button. the three columns remain visibly tied together by one rigid corner frame, and the control bank sits as a real pod beneath the front edge. The three lift stages slide prismatically inside their outer columns in sync, and the preset buttons and power button each depress independently as small prismatic push controls. Corner workstation scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0073_tripodmounted_device_d0b33d7b,tripodmounted_device,Tripod-mounted device,"A compact mounted device on a tripod with folding legs, a telescoping center column, and a pan-tilt head plus a small locking knob at the top plate. The legs rotate on crown hinges, the center column slides prismatically, the head pans continuously on the vertical joint, the device tilts on the horizontal hinge, and the locking knob rotates continuously on its short threaded shaft. Portable tripod device scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0074_singleleaf_drawbridge_dac63371,singleleaf_drawbridge,Single-leaf drawbridge,A single-leaf drawbridge. A fixed shore frame carries one bridge leaf on heavy side bearings. Joints: the bridge leaf is a single revolute panel about a horizontal shore-side axis. Break the body into a main shell plus a separate hinge-side reinforcement band.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0075_office_chair_75a1abf6,office_chair,Office chair,"A five-star office chair with casters, a central gas column, a seat, and a backrest on a simple tilt bracket. The backrest stays visibly attached to the seat frame rather than floating behind it. The five caster wheels rotate continuously on their axles, the seat slides prismatically on the gas column for height adjustment, and the backrest reclines on a rear tilt hinge at the seat bracket. Office-chair scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0076_orthogonal_yz_stage_d4fffc1f,orthogonal_yz_stage,Orthogonal YZ stage,"A side-mounted transfer stage with a rigid back tower, a lateral crosshead carriage, and a descending tool plate guided from the crosshead. The fixed frame should clearly support both guide directions, and the hanging tool plate should feel captured rather than suspended in space. Make it read as real automation hardware with guide blocks, carriage flanges, wear strips, and grounded structural proportions in the back tower. The crosshead moves on a prismatic Y axis and the tool plate moves on a prismatic Z axis. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0077_revoluteprismatic_chain_e744ce5e,revoluteprismatic_chain,Revolute-prismatic chain,A compact service arm with linear nose. A broad grounded base supports one rigid link and one tip slider that stays clearly smaller than the link. The mechanism uses one revolute joint followed by one prismatic joint.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0078_folding_arm_chain_628b1b8f,folding_arm_chain,Folding arm chain,"A folding support stay with a fixed root bracket, three flat bar links of different lengths, and a triangular end shoe. The links should overlap cleanly when folded and read as stamped or plate-built hardware. The three link connections are revolute joints in one plane so the arm can fold near flat and extend outward.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0079_rotary_table_with_tilting_trunnion_1ab9c58a,rotary_table_with_tilting_trunnion,Rotary table with tilting trunnion,"A trunnion table like a small machine-tool fixture, with a low rotary base, two upright side cheeks, and a rectangular table suspended between the cheeks. The table should read as a supported cradle rather than a plate floating above the base. The base turns on a vertical revolute axis and the table tilts on a horizontal trunnion axis between the side cheeks.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0080_screwcap_bottle_e670a298,screwcap_bottle,Screw-cap bottle,"A screw-cap bottle. A bottle body rises to a threaded neck, capped by a separate screw closure. Joints: the cap rotates continuously about the bottle neck axis. Offset the rotating element within an asymmetrical fixed body where that still reads correctly.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0081_fidget_toy_9f7abaae,fidget_toy,Fidget toy,A pop-it cube fidget with a square flat face and twelve dome-shaped pop buttons arranged in a grid. Each dome button compresses prismatically on a short vertical travel. A hinge along one edge allows the cube face to fold on a revolute joint.,openai,gpt-5.5-2026-04-23,high,100,,
