row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,scaffold_mode,label,design_audit
stand_mixer_020,stand_mixer,Stand Mixer,"A classic baking stand mixer with a stout base, a bright bowl carried ahead of the neck on a small carriage, and a traditional rounded head with a balloon whisk. Use the same golden kinematic structure for every moving part: short prismatic bowl slide from the base, rear revolute head tilt, continuous vertical whisk drive, revolute base speed control, and prismatic base head-lock control.",openai,gpt-5.4,high,65,,sdk,,Classic baking,false
stand_mixer_021,stand_mixer,Stand Mixer,"A high-end stand mixer with a flared base, a deep bowl on a short sliding cradle, and a long head nose carrying a paddle attachment. Keep the bowl on a short prismatic adjustment slide at the base, keep the head on one rear horizontal revolute hinge, keep the paddle on a continuous vertical drive joint, keep the speed control as a revolute base-mounted knob, and keep the head-lock as a prismatic base-mounted plunger.",openai,gpt-5.4,high,65,,sdk,,Flared base,false
stand_mixer_022,stand_mixer,Stand Mixer,"A monolithic stand mixer with a thick rear column, a steel bowl on a compact carriage, and an oval head fitted with a dough hook. The articulation spec should be explicit and canonical: base-to-bowl short prismatic slide, base-to-head rear revolute tilt joint, head-to-hook continuous vertical spin, base speed selector as a small revolute control, and base head-lock as a short prismatic control.",openai,gpt-5.4,high,65,,sdk,,Monolithic oval,false
stand_mixer_023,stand_mixer,Stand Mixer,"A bright kitchen stand mixer with a glossy shell, a medium mixing bowl on a front slide carriage, and a rounded head carrying a whisk. The bowl should move prismatically a short distance relative to the base, the head should tilt upward on one rear horizontal revolute hinge, the whisk should rotate continuously beneath the head, the speed lever should rotate on a revolute joint on the base, and the lock button should translate on a short prismatic joint on the base.",openai,gpt-5.4,high,65,,sdk,,Bright kitchen,false
stand_mixer_024,stand_mixer,Stand Mixer,"A compact premium stand mixer with dense cast-metal proportions, a rolled steel bowl on a small carriage, and a neat head with a flat beater. Keep the mechanical tree fixed to the stand-mixer category: bowl on a short prismatic base slide, head on a rear revolute tilt hinge, beater on a continuous vertical rotary drive, speed control on the base as a revolute knob, and head-lock on the base as a short prismatic slider.",openai,gpt-5.4,high,65,,sdk,,Compact premium,false
stand_mixer_025,stand_mixer,Stand Mixer,"A countertop pastry stand mixer with a broad foot, a polished bowl on a guided front carriage, and a heavy head holding a spiral hook. The bowl carriage must be prismatic relative to the base, the head must tilt on a rear horizontal revolute hinge, the hook must rotate continuously around the vertical tool axis, the speed selector on the base must rotate revolutely, and the head lock on the base must translate prismatically.",openai,gpt-5.4,high,65,,sdk,,Pastry spiral,false
stand_mixer_026,stand_mixer,Stand Mixer,"A streamlined stand mixer with a smooth tapered neck, a small bowl on a short carriage, and a forward-projecting head fitted with a whisk. Use the canonical articulation layout only: short prismatic bowl slide at the base front, rear revolute tilt joint for the head, continuous vertical rotary drive for the whisk, a base-mounted revolute speed control, and a base-mounted prismatic head-lock control.",openai,gpt-5.4,high,65,,sdk,,Streamlined whisk,false
stand_mixer_027,stand_mixer,Stand Mixer,"A robust family-size stand mixer with a large bowl carried on a shallow base slide, a rounded motor head, and a paddle attachment under the nose. The bowl should shift on one short prismatic carriage, the head should rotate upward on one rear revolute hinge, the paddle should spin continuously on the vertical spindle, the speed control on the base should rotate on a small revolute pivot, and the lock release on the base should translate prismatically.",openai,gpt-5.4,high,65,,sdk,,Family size,false
stand_mixer_028,stand_mixer,Stand Mixer,"A designer stand mixer with a gently domed base, a bright bowl on a compact carriage, and a head with a tapered nose carrying a dough hook. Preserve the same golden tree in the prompt: base-to-bowl short prismatic adjustment slide, base-to-head rear revolute tilt hinge, head-to-tool continuous vertical rotation, base speed selector on a revolute joint, and base head-lock on a short prismatic joint.",openai,gpt-5.4,high,65,,sdk,,Designer tapered,false
stand_mixer_029,stand_mixer,Stand Mixer,"A bakery-corner stand mixer with a thick painted pedestal, a bowl on a short front carriage, and a substantial head with a wire whisk. Make the kinematic structure explicit: the bowl translates prismatically relative to the base, the head tilts on one rear horizontal revolute hinge, the whisk rotates continuously beneath the head, the speed control on the base rotates on a small revolute joint, and the head-lock control on the base translates on a short prismatic stroke.",openai,gpt-5.4,high,65,,sdk,,Bakery corner,false
stand_mixer_030,stand_mixer,Stand Mixer,"A luxury metallic stand mixer with chrome trim, a deep mixing bowl on a short adjustment carriage, and a sculpted head holding a paddle. The bowl must stay on a short prismatic base slide, the head must stay on a rear tilt revolute hinge, the paddle must stay on a continuous vertical drive, the speed control must stay on the base as a revolute dial, and the head-lock must stay on the base as a short prismatic plunger.",openai,gpt-5.4,high,65,,sdk,,Luxury metallic,false
stand_mixer_031,stand_mixer,Stand Mixer,"A cheerful retro stand mixer with a rounded back housing, a compact steel bowl on a front carriage, and a short head nose carrying a dough hook. Keep the articulation exactly on the canonical stand-mixer tree: short prismatic bowl slide from the base, rear horizontal revolute hinge for the head, continuous vertical rotation for the tool, revolute speed control on the base, and prismatic head-lock control on the base.",openai,gpt-5.4,high,65,,sdk,,Cheerful retro,false
stand_mixer_032,stand_mixer,Stand Mixer,"A satin-white stand mixer with a low heavy base, a polished bowl on a guided carriage, and a rounded head fitted with a wire whisk. The bowl should move prismatically a short distance at the front of the base, the head should tilt on a rear revolute hinge, the whisk should spin continuously on the vertical spindle, the speed selector on the base should rotate on a revolute axis, and the lock control on the base should translate on a short prismatic axis.",openai,gpt-5.4,high,65,,sdk,,Satin white,false
stand_mixer_033,stand_mixer,Stand Mixer,"A dark-finish stand mixer with a chunky rear neck, a broad bowl on a small carriage, and a compact head carrying a flat beater. The articulation should remain canonical and fully specified in the prompt: bowl on a short prismatic slide from the base, head on a rear horizontal revolute tilt joint, beater on a continuous vertical rotary drive, speed control on the base as a revolute knob, and head-lock on the base as a short prismatic control.",openai,gpt-5.4,high,65,,sdk,,Dark chunky,false
stand_mixer_034,stand_mixer,Stand Mixer,"A softly styled stand mixer with a smooth enamel shell, a rolled-rim bowl on a front adjustment carriage, and a long-nose head carrying a spiral hook. The bowl carriage must be a short prismatic stage, the head must tilt on one rear revolute hinge, the hook must rotate continuously under the head, the base-mounted speed selector must rotate on a revolute joint, and the base-mounted head-lock must translate prismatically.",openai,gpt-5.4,high,65,,sdk,,Soft enamel,false
stand_mixer_035,stand_mixer,Stand Mixer,"A premium countertop stand mixer with a broad heel, a medium bowl on a low slide carriage, and a tidy rounded head fitted with a whisk. Keep the golden articulation tree intact: base to bowl short prismatic slide, base to head rear revolute tilt hinge, head to whisk continuous vertical spin, base speed control as a revolute side control, and base head-lock as a short prismatic button.",openai,gpt-5.4,high,65,,sdk,,Premium countertop,false
stand_mixer_036,stand_mixer,Stand Mixer,"A steel-accented stand mixer with a pronounced pedestal neck, a deep bowl on a compact front carriage, and a heavy head with a paddle attachment. The bowl should ride on a short prismatic slide from the base, the head should rotate upward on a rear horizontal revolute hinge, the paddle should rotate continuously on the vertical drive, the speed selector on the base should rotate revolutely, and the lock release on the base should slide prismatically.",openai,gpt-5.4,high,65,,sdk,,Steel accented,false
stand_mixer_037,stand_mixer,Stand Mixer,"A contemporary stand mixer with a low swept base, a polished bowl on a short carriage, and a streamlined head carrying a dough hook. Specify the canonical stand-mixer motions directly: bowl on a short prismatic base slide, head on a rear revolute tilt hinge, attachment on a continuous vertical rotary joint under the head, speed control on the base as a revolute lever, and head-lock control on the base as a short prismatic slider.",openai,gpt-5.4,high,65,,sdk,,Contemporary swept,false
stand_mixer_038,stand_mixer,Stand Mixer,"A rounded boutique stand mixer with glossy paint, a bright bowl on a shallow front carriage, and a compact head fitted with a balloon whisk. Keep every articulation aligned to the reviewed mixer tree: base-to-bowl short prismatic slide, base-to-head rear horizontal revolute hinge, head-to-whisk continuous vertical spin, base-mounted revolute speed control, and base-mounted prismatic head-lock control.",openai,gpt-5.4,high,65,,sdk,,Boutique glossy,false
stand_mixer_039,stand_mixer,Stand Mixer,"A workhorse kitchen stand mixer with a thick metal base, a large bowl on a short fore-aft carriage, and a dense tilt head with a flat beater. The bowl must translate on a small prismatic stage, the head must tilt on a rear revolute hinge, the beater must spin continuously beneath the head, the speed knob on the base must rotate revolutely, and the lock control on the base must translate on a short prismatic axis.",openai,gpt-5.4,high,65,,sdk,,Workhorse flat beater,false
stand_mixer_040,stand_mixer,Stand Mixer,"A flagship home stand mixer with a sculpted pedestal, a polished bowl on a compact sliding cradle, and a rounded head carrying a spiral dough hook. Use the canonical kinematic structure in full: a short prismatic bowl carriage relative to the base, a rear horizontal revolute tilt-head joint, a continuous vertical rotary drive for the tool, a base-mounted revolute speed control, and a base-mounted short prismatic head-lock control.",openai,gpt-5.4,high,65,,sdk,,Flagship sculpted,false
